index,sales
7,0.0
19,4561.577814845705
31,5908.1309229305425
45,3573.0344827586205
56,4184.283066797529
57,4802.245588235294
61,6252.547169811321
63,9613.021498342927
79,4184.283066797529
81,9613.021498342927
84,4184.283066797529
86,5720.391268533773
90,4470.735771868608
96,5318.432769277536
105,0.0
108,6200.148113733507
124,10053.653636363637
126,3870.401669640581
133,5908.1309229305425
146,5918.371298575371
151,0.0
160,7078.962590566317
164,7332.796297670277
167,9874.873564386624
190,0.0
194,6855.631358619815
206,11955.804755043227
214,0.0
217,6795.198970564581
220,7827.408493664946
221,13043.892255892257
225,6577.396355353075
226,4964.710335747202
232,9874.873564386624
250,5357.319844789357
264,5594.198399085191
269,4184.283066797529
271,6794.086037234042
280,7127.463414634146
281,0.0
284,4184.283066797529
302,7595.323550319895
323,5918.371298575371
327,0.0
336,5178.620487804878
351,5180.087281795511
377,5908.1309229305425
382,3573.0344827586205
388,6794.086037234042
392,0.0
402,0.0
408,7332.796297670277
427,7742.5847457627115
466,0.0
469,0.0
472,0.0
477,0.0
508,6810.012444235736
513,7595.323550319895
516,5918.371298575371
530,4561.577814845705
558,3624.7094594594596
576,13609.91121495327
588,9613.021498342927
595,6408.281669150521
600,4561.577814845705
601,9874.873564386624
609,5908.1309229305425
612,5442.214822134388
615,7078.962590566317
625,4561.577814845705
632,0.0
645,4184.283066797529
666,7367.69604756908
668,7827.408493664946
672,7975.611764705883
699,15387.957828405235
717,5318.432769277536
737,5918.371298575371
744,9434.257777777777
747,14262.25
764,8231.711206896553
775,6794.086037234042
788,0.0
795,10805.13973063973
802,9613.021498342927
811,8908.23000551572
840,7883.368131868132
849,10488.244238410596
859,6810.012444235736
871,0.0
872,9613.021498342927
881,4184.283066797529
883,7367.69604756908
890,4184.283066797529
896,7089.080985915493
902,0.0
905,9613.021498342927
921,7332.796297670277
967,9613.021498342927
973,5908.1309229305425
1001,4561.577814845705
1016,0.0
1021,9874.873564386624
1026,3573.0344827586205
1030,5908.1309229305425
1044,5908.1309229305425
1063,8459.483771060455
1067,8459.483771060455
1075,7332.796297670277
1086,0.0
1097,4184.283066797529
1117,9613.021498342927
1122,5318.432769277536
1125,7078.962590566317
1129,5720.391268533773
1141,4470.735771868608
1149,0.0
1151,3962.1671258034894
1159,7332.796297670277
1173,7367.69604756908
1184,0.0
1193,6200.148113733507
1241,6794.086037234042
1249,0.0
1250,9613.021498342927
1261,0.0
1273,6200.148113733507
1282,0.0
1296,6794.086037234042
1309,4068.8228228228227
1332,5357.319844789357
1336,6794.086037234042
1357,6200.148113733507
1372,7332.796297670277
1374,6855.631358619815
1378,9874.873564386624
1379,4470.735771868608
1384,7883.368131868132
1394,7595.323550319895
1398,4184.283066797529
1399,4184.283066797529
1403,7332.796297670277
1409,9613.021498342927
1424,4184.283066797529
1430,5918.371298575371
1432,4184.283066797529
1448,5908.1309229305425
1451,10488.244238410596
1452,7332.796297670277
1467,0.0
1470,5318.432769277536
1481,7940.124158060171
1523,4184.283066797529
1527,5908.1309229305425
1546,6101.22972972973
1547,15060.098101265823
1567,4561.577814845705
1592,8114.54
1597,11025.482209737827
1601,0.0
1603,8088.861337683524
1640,5318.432769277536
1646,0.0
1651,0.0
1652,9613.021498342927
1670,0.0
1677,0.0
1691,5318.432769277536
1704,4184.283066797529
1707,10325.96882951654
1718,5918.371298575371
1721,5318.432769277536
1733,0.0
1737,7940.124158060171
1748,3573.0344827586205
1776,7332.796297670277
1804,7595.323550319895
1821,8753.609756097561
1839,4184.283066797529
1845,5318.432769277536
1853,6810.012444235736
1888,3573.0344827586205
1895,5918.371298575371
1899,7078.962590566317
1923,4014.656792645557
1934,8459.483771060455
1937,10419.624187256177
1940,3870.401669640581
1953,0.0
1968,3874.1731366459626
1975,0.0
1981,9613.021498342927
1984,5918.371298575371
1997,10419.624187256177
2024,7827.408493664946
2032,7332.796297670277
2036,11025.482209737827
2051,4184.283066797529
2061,0.0
2082,4184.283066797529
2093,0.0
2096,6577.396355353075
2107,5318.432769277536
2115,7089.080985915493
2117,4184.283066797529
2137,3870.401669640581
2156,8082.203539823009
2160,0.0
2186,8231.711206896553
2188,6200.148113733507
2204,7332.796297670277
2217,5442.214822134388
2224,3870.401669640581
